Mario S escreveu uma avaliação a nov de 2019;Muito bem conservado;Monumento que surpreendeu pela positiva. Muito bem conservado e limpo e com vista impressionante da sua torre sobre Beja e arredores. Sem duvida o ex libris desta cidade.;1
Nuno G escreveu uma avaliação a nov de 2019;A torre mais alta de Portugal;Para além da vista fabulosa que do alto da torre se consegue ter da magnífica planície alentejana, em dias de boa visibilidade, é possível ver a serra algarvia. As suas muralhas percorrem grande parte da cidade, sendo possível ter uma ideia de como eram as ruas e as casas da…;1
Sunshine653209 escreveu uma avaliação a out de 2019;Muito lindo;Local muito bonito. Subindo na torre, a vista é maravilhosa!!! Vale a pena a visita ao Castelo, ao Museu Regional e à Igreja Nossa Senhora dos Prazeres.;1
Paula Costa 68 escreveu uma avaliação a out de 2019;Agradavel;Bom sítio para se visitar em beja . Fui no sabado na parte da manhã e estava aberto ate ao 12.30 Vista bonita sobre a cidade Tem uma loja para comprar recordações Staff simpático;1
Dfabiano s escreveu uma avaliação a set de 2019;Regular;Apenas um muro de pedra com restauração recente como tantos outros existentes em toda a Europa.Torre fecha na hora do almoço, é recomendável ir ao fim da tarde e subir as escadas íngremes com muito cuidado e atenção.;1
SilviaSilva1 escreveu uma avaliação a ago de 2019;Muito bonito;Vale a pena visitar. A loja de turismo é lá dentro. Suba à torre e tem uma vista espetacular sobre a cidade.;1
Sir Aiwa escreveu uma avaliação a ago de 2019;Belo castelo;Torre de menagem imponente. Para os apaixonados deste tipo de turismo vale bem a pena. A não perder passando por estes lados.;1
JFMMatos escreveu uma avaliação a ago de 2019;Excelente vista;Castelo em bom estado que permite ter uma excelente vista sobre Beja e região circundante. Bom local para deixar o carro e passear pela cidade.;1
purplevoyager escreveu uma avaliação a ago de 2019;Torre bem conservada;Do castelo praticamente só sobra a torre de menagem, que dá para ver que é sujeita a manutenção e já foi alvo de recuperação bem feita. Um barzinho no pátio dá para tomar uma bebida para refrescar;1
SaraapcPereira escreveu uma avaliação a ago de 2019;O grande miradouro de Beja;Um ponto turístico obrigatório para quem queira conhecer Beja! Situado bem no centro desta cidade alentejana, tem uma paisagem privilegiada sobre toda a cidade e arredores. O Castelo é bastante enigmático, transportando-nos para a época medieval. De uma beleza inigualável tanto…;1
Meyre L escreveu uma avaliação a jul de 2019;Cartão postal de Beja;O Castelo está muito bem conservado. É possível circular por todo entorno junto a muralha, tendo vista 360° da cidade. A torre possui três salas intermediárias interessantes e boas para parar e tomar um fôlego pois são mais de 180 degraus nos 40 metros de altura, sendo a mais…;1
Vitor S escreveu uma avaliação a jul de 2019;Bom passeio;Bom passeio para relaxar e aproveitar a vista sobre a cidade. Cuidado com o calor eheheh . Aproveitar as vistas;1
davidrola1974 escreveu uma avaliação a jul de 2019;Óptimo local para iniciar a visita cultural!;Ao subir ao Castelo é possível ver toda a cidade e os seus arredores, vista deslumbrante e ambiente medieval.;1
S. M. escreveu uma avaliação a jul de 2019;Muito bonito;O castelo está muito bem conservado, tem entrada livre e acesso à torre de menagem, de onde se tem uma magnífica vista sobre toda a cidade;1
ricardodacastanheira escreveu uma avaliação a jun de 2019;Está limpo....;Está limpo, conservado e tem acesso gratuito... A torre tem uma vista muito interessante. Aparentemente, é só o que tem para oferecer.;1
Jó Luis Andrade escreveu uma avaliação a jun de 2019;Bem interessante!;Castelo com boa conservação. Aberto ao público para visitação. Tem um banheiro. Torre de 183 degraus proporciona bonita visão. Vale a pena.;1
Manuel António Valente escreveu uma avaliação a jun de 2019;Vista panorâmica da cidade;O castelo encontra-se bem conservado e permite a partir da sua torre de menagem uma vista panorâmica da cidade. Embora não se pague para visitar, deveria haver um funcionário que controlasse o espaço. Dispõe de um café no seu interior e de WC, embora não exista sinalética…;1
Elizabeth M escreveu uma avaliação a jun de 2019;Visita ao Castelo;Interessante conhecer e ver a vista das muralhas do castelo, mas pode ser um passeio rápido, em 30 minutos é possível ver tudo.;1
Camacho escreveu uma avaliação a mai de 2019;Castelo muito belo;Top Entrada livre. Torre de menagem acessível. Vista espetacular de toda a cidade. Recomendável para quem tem interesse por monumentos históricos;1
fremy escreveu uma avaliação a mai de 2019;vista deslumbrante subindo as 168 degraus;Visitar o castelo em baixo é uma coisa mas subir os cerca de 168 degraus e de facto uma proeza que vala bem a pena pela vista deslumbrante que nos proporciona. Os degraus são fáceis de subir, e tem intervalos para descanso. Mais acima começa a estreitar e temos que esperar pelos…;1
Teresa Freitas escreveu uma avaliação a abr de 2019;Um dos castelos mais lindos com certeza!;O castelo de Beja, tem uma arquitetura muito bonita. Se mantém como um dos mais bonitos da região, seu jardim e sua estrutura interior é bastante conservada e o mirante é muito bonito. Vale a pena conhecer!;1
Vitor S escreveu uma avaliação a abr de 2019;Torre muito bonita!;A torre do castelo é lindíssima! Poderia ter algum funcionário no local a controlar as subidas e descidas, pois existem passagem apertadas.;1
Paulo P escreveu uma avaliação a abr de 2019;A vista das planícies, um pedaço de história;Ao visitar Beja, vale a pena ir ao Castelo. Sem limitação no acesso, permite ter uma vista agradável na torre de menagem.;1
Cristina F escreveu uma avaliação a abr de 2019;Monumento a visitar em Beja;Se for a Beja não deixe de visitar este monumento e de subir a torre de menagem do castelo. Se levar crianças pode ser um pouco cansativo mas proveitoso porque os miúdos divertem-se a subir e imaginar os guerreiros.;1
